2020_Rank;School_Name;Median_ATAR;No_eligible_Yr_12_students;No_Students_with_an_ATAR;Perc_students_with_an_ATAR;Location;Postcode;State;Socio_Economi_Status;State_Overall_Score;Better_Education_Percentile;English;Maths;Total_Students;Code
69;Frederick Irwin Anglican School;79.65;120;92;76.67;Mandurah;6210;WA;80;95;13%;3;4;1646;1373
70;St Mary Mackillop College;79.3;97;51;52.58;Busselton;6280;WA;72;91;22%;2;3;1625;1394
71;Bunbury Catholic College;78.95;93;34;36.56;Bunbury;6230;WA;72;91;22%;2;3;931;1029
71;Lesmurdie Senior High School;78.95;124;44;35.48;Lesmurdie;6076;WA;64;93;18%;3;3;976;4133
73;Denmark Senior High School;78.9;47;20;42.55;Denmark;6333;WA;64;93;18%;3;3;424;4072
74;John Forrest Secondary College;78.7;161;52;32.3;Morley;6062;WA;62;90;24%;2;2;1092;4026
75;Ashdale Secondary College;78.65;218;84;38.53;Darch;6065;WA;64;91;24%;3;2;1826;4181
76;Australind Senior High School;78.4;147;35;23.81;Australind;6233;WA;64;91;24%;3;2;1135;4146
77;Woodvale Secondary College;77.65;211;100;47.39;Woodvale;6026;WA;79;93;17%;3;3;1341;4144
78;Helena College;77.35;68;62;91.18;Glen Forrest;6071;WA;95;96;11%;3;4;751;1055
79;Bunbury Senior High School;77.3;107;40;37.38;Bunbury;6230;WA;95;96;11%;3;4;964;4008
80;Lake Joondalup Baptist College;77.25;133;85;63.91;Joondalup;6027;WA;95;92;20%;2;3;1412;1366
81;Manea Senior College;77.05;334;90;26.95;Bunbury;6230;WA;95;92;22%;2;3;490;4179
81;Nagle Catholic College;77.05;131;54;41.22;Geraldton;6530;WA;95;96;24%;3;3;1183;1068
83;Ocean Reef Senior High School;76.35;143;58;40.56;Ocean Reef;6027;WA;95;92;25%;2;2;1301;4140
84;Great Southern Grammar School;76.05;83;54;65.06;Kalgan;6330;WA;95;92;25%;2;2;634;1431
85;Al-Ameen College;75.9;37;26;70.27;Langford;6147;WA;90;97;7%;4;4;1183;1463
86;Greenwood College;75.75;125;46;36.8;Greenwood;6024;WA;69;91;23%;2;3;986;4122
87;Como Secondary College;75.7;126;77;61.11;Como;6152;WA;83;92;20%;2;3;818;4049
88;Ellenbrook Christian College;75.65;43;22;51.16;Ellenbrook;6069;WA;71;90;25%;2;2;662;1424
89;Leeming Senior High School;75.6;147;65;44.22;Leeming;6149;WA;81;96;10%;3;5;1136;4143
90;Broome Senior High School;75.45;94;36;38.3;Broome;6725;WA;78;90;25%;2;2;775;4064
91;Seton Catholic College;75.35;153;60;39.22;Samson;6163;WA;82;96;10%;3;5;1026;1368
92;Joseph Banks Secondary College;74.95;203;51;25.12;Banksia Grove;6031;WA;81;90;18%;2;5;1447;4192
93;Kent Street Senior High School;74.65;134;45;33.58;East Victoria Park;6101;WA;84;90;19%;2;4;1126;4029
93;Swan Christian College;74.65;163;64;39.26;Middle Swan;6056;WA;77;90;25%;2;2;1538;1304
95;Geraldton Grammar School;74.45;42;34;80.95;Geraldton;6530;WA;85;94;16%;3;4;605;1403
96;Lynwood Senior High School;74.35;228;48;21.05;Parkwood;6147;WA;84;93;18%;3;4;1172;4113
97;Kolbe Catholic College;74.25;158;65;41.14;Rockingham;6168;WA;70;91;23%;2;3;1217;1353
98;Holy Cross College;74.2;83;37;44.58;Ellenbrook;6069;WA;76;90;28%;2;2;1314;1450
99;St Brigid'S College;73.85;103;61;59.22;Lesmurdie;6076;WA;75;90;25%;2;2;811;1103
100;Morley Senior High School;73.7;161;71;44.1;Noranda;6062;WA;74;88;29%;2;2;1033;4051
