OBJECTID;ROUTE_NUM;ROUTE_NAME;ASSET_OWNER;CLASSIFICATION;INFRASTRUCT_TYPE;STATUS;PROGRAM;LAST_EDITED_DATE;SHAPE_Length
1146;62;Bennett Street;City of Perth;City Cycle Route;Shared path;Future works;Cycle Plan - 2020/21;20/02/2019;0.00144303013100275
1147;31;Barrack Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00711603805292321
1148;32;Stirling Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00464355502318406
1149;28;Roe Street;City of Perth;City Cycle Route;Shared path;Existing - to be upgraded;;20/02/2019;0.00858307867903154
1150;44;Cultural Centre;City of Perth;Loading...;Pedestrian priority zone;Future works;;20/02/2019;0.00292943194622905
1151;28;Roe Street;City of Perth;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00740974289136526
1152;50;St Georges Terrace;City of Perth;Integrated Cycling Route;Integrated;Future works; ;20/02/2019;0.00337012723227983
1153;99;PSP - Other LG;WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.00516273511469366
1154;9;Hackett Drive;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.0141464442744315
1155;72;The Avenue;City of Perth;City Cycle Route;Cycle lane;Future works;;20/02/2019;0.00315001487542841
1156;14;Murray Street;City of Perth;Integrated Cycling Route;Integrated;Existing - to be retained; ;20/02/2019;0.00341414919947178
1157;13;RSP Network (Eastern Foreshore);WA Government;Regional Route;Shared path;Existing - to be retained;;20/02/2019;0.00431099765982064
1158;45;Mercantile Lane;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00188551425351177
1159;33;Loading...;Loading...;City Cycle Route;Cycle lane;Existing - to be upgraded;;20/02/2019;0.00235500211123372
1160;8;RSP Network (Riverside Drive);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.000342237238537986
1161;71;Princess Road;City of Perth;City Cycle Route;Cycle lane;Future works;;20/02/2019;0.00406823880259803
1162;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2016/17;20/02/2019;0.00312694791904819
1163;46;King Street;City of Perth;Integrated Cycling Route;Integrated;Future works;;20/02/2019;0.00379819670605545
1164;27;Hay Street Connection;City of Perth;Integrated Cycling Route;Shared path;Existing - to be retained;;20/02/2019;0.00118051344223709
1165;13;RSP Network (Eastern Foreshore);WA Government;Regional Route;Shared path;Existing - to be retained;N/A - Works Completed;20/02/2019;0.00402186023086438
1166;3;PSP Network (George Street);WA Government;Regional Route;Shared path;Existing - to be retained; ;20/02/2019;0.00489056658271683
1167;63;Kensington Street;City of Perth;City Cycle Route;Cycle lane;Future works;Cycle Plan - 2017/18;20/02/2019;0.0070209155896105
1168;33;Aberdeen Street;City of Perth;City Cycle Route;Cycle lane;Existing - to be upgraded;Cycle Plan - 2018/19;20/02/2019;0.00240908153221862
1169;66;East Parade;City of Perth;City Cycle Route;Cycle lane;Existing - to be retained;;20/02/2019;0.00501077967395685
